Tag,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Kohlegas(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh)
01.01.2018,156.8,46.7,126.6,204.5,8.9,43.6,2.3,66.3,0.4,1.1,1.2,13.1,15.1,76.4,609.6,31.1
02.01.2018,220.9,47.1,128.3,355.1,10.4,107.6,2.4,117.9,0.4,1.2,1.6,13.3,15.2,63.9,393.2,17.2
03.01.2018,196,48.8,127.7,248,8.3,65.3,2.3,92.1,0.4,1.5,1.4,14.3,16.4,92.3,820.2,13.8
04.01.2018,216.8,51.8,128.4,319.9,9.1,176.6,2.3,113.2,0.4,1.7,1.5,13.9,15.9,37.6,551.9,9.8
05.01.2018,209.6,52,128.7,338.5,9,192.9,2.3,123.4,0.4,1.5,1.4,12.8,14.7,28,512.3,19.4
06.01.2018,222.7,52,128.4,389.3,11.4,165.2,2.3,107.3,0.4,1,1.2,13.1,15,29.4,172,30.8
07.01.2018,222.2,48.4,128.6,369.4,8.5,70,2.3,95.5,0.5,1.2,1.2,13.1,15,34.1,348.5,17.9
08.01.2018,224.7,48.5,128,411.4,11.7,151.1,2.4,141.4,0.4,1,1.4,13.5,15.4,63.5,472.9,32
09.01.2018,218.6,52.9,127.9,393.2,12.2,177.8,2.5,152.1,0.4,1.4,1.4,12.9,14.8,79.9,454.6,31.1
10.01.2018,224.2,54.5,128.6,430.6,11.9,310.6,2.6,195.2,0.4,1.6,1.5,12.9,14.8,26.1,129.4,39.9
11.01.2018,225.2,54.1,128.7,431.8,9.9,366.5,2.8,243.4,0.4,1.8,1.5,13.3,15.2,11,24.2,22.2
12.01.2018,224.6,53,129.3,419.9,13.3,342.7,2.5,209.6,0.4,2,1.5,13.1,15,49.7,78.1,11.6
13.01.2018,224.1,52.2,128.8,421,12.8,165,2.4,132,0.4,1.4,1.5,12.6,14.5,73.6,251.6,12.1
14.01.2018,220.3,48.3,128.8,404.6,10.7,84.6,2.4,120.7,0.4,1.4,1.4,12.1,13.9,78.8,313.2,35.1
15.01.2018,219,46.8,128,358.8,14.4,112.1,2.4,131.8,0.4,1.6,1.4,12.4,14.2,85.8,630.3,31.9
16.01.2018,217.2,48.7,128,358.1,14.1,127,2.4,123.2,0.4,1.6,1.4,12.5,14.4,90.5,593.9,19.6
17.01.2018,220.1,54,127.6,396.3,11.7,116.2,2.4,130,0.4,1.8,1.4,12.4,14.2,82.8,566.6,19.9
