Tag,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh)
01.01.2022,80.1,49.3,118.4,124.7,59.2,2.7,73.4,0.4,1.1,1.6,13.8,15.5,132,384.1,35.8
02.01.2022,79.8,47.7,118.2,90.1,48.2,2.7,70.7,0.5,1.6,1.6,13.8,15.5,148.2,619.4,26.6
03.01.2022,87.8,47.4,118.5,213,73.1,2.7,102.9,0.4,1.8,1.7,12.7,14.2,137.1,732.1,23.5
04.01.2022,97.4,47.6,119.7,332.1,197.2,2.6,174.1,0.5,2.4,2.3,12,13.5,115.4,349.4,10.9
05.01.2022,98,48.2,117.2,310.7,143.3,2.4,110.9,0.5,1.5,1.9,12.1,13.6,137.8,700.2,27.4
06.01.2022,97,47.6,120.9,310.3,220.5,2.4,179.1,0.4,1.5,2.1,13.3,15,91.9,282.8,52.2
07.01.2022,97.8,46.8,123.1,345.7,206.2,2.6,141,0.4,2,2.1,12.9,14.5,138.9,500,19.1
08.01.2022,97.7,45.5,121.8,316.8,196,2.9,118.5,0.5,1.3,1.9,12.6,14.2,126.3,445.7,23
09.01.2022,70.4,45.3,121.5,291,167,2.9,122.5,0.5,2.1,1.8,12.4,14,106.7,440,21.7
10.01.2022,65.5,45.5,122.4,371.8,250.2,3.1,287.5,0.5,3.8,2.1,10.9,12.3,23.3,56.2,28.1
11.01.2022,96.9,47.3,121.9,381.8,244.6,2.9,299.4,0.5,2.8,2.1,6.4,7.2,78.4,93,39.7
12.01.2022,95.3,46,123,380.5,245.1,3,303.9,0.5,2.3,2.2,6.1,6.9,56,136.9,38.8
13.01.2022,98.3,44.2,123.1,352.4,224.2,2.9,241.9,0.5,2.6,2.2,6.4,7.2,125.4,410.1,38.9
14.01.2022,97.5,43.2,124.6,349.1,236.2,3,258.3,0.5,2,2.1,9.7,10.9,89.4,360.2,49.5
15.01.2022,95.6,43.7,126,338.7,260.2,3.2,255.1,0.5,1.3,2.2,12.5,14.1,26.1,66.9,31.2
16.01.2022,98.2,41.5,123.7,291.4,194.7,3.1,129.9,0.5,2.5,2,11.7,13.1,113.7,395.3,25.6
17.01.2022,96.8,39.3,123.2,290,202.3,3,167.1,0.5,3.4,2,11.3,12.7,112.5,630.3,22.4
18.01.2022,94.2,42.3,125.3,366,287,3.3,289.2,0.5,2.7,2.2,11.7,13.1,66.5,159.5,32.1
19.01.2022,97.8,41.4,124,332.3,232.8,2.8,203.4,0.5,1.7,2.1,11.2,12.5,150.7,477.1,51.4
20.01.2022,97.9,39.3,122.8,287,178.2,4.1,156.8,0.5,2.3,1.9,9.2,10.4,140.6,686.7,40.5
21.01.2022,98.1,38.8,124.1,317,211.8,4.4,209.9,0.5,1.8,2.2,11.6,13.1,147.2,478.2,46.1
22.01.2022,96.5,38.7,124.4,331.4,179.3,2.8,234.8,0.4,1.6,2.2,12.3,13.8,71.3,296.1,21.4
23.01.2022,95.1,37.9,123.2,352.5,234.8,2.8,239.1,0.5,0.8,2.2,12.3,13.8,36,117,25.8
24.01.2022,97.3,38.7,125.4,353.2,263.5,3.1,299.7,0.5,2.7,2.1,12.7,14.3,54.9,77.4,39
25.01.2022,98.4,43.3,126.1,352.6,268.4,3.5,336.7,0.5,4.6,2.2,12.7,14.3,42.5,92.6,28.4
26.01.2022,98.3,42.7,125.3,326.2,256.8,3.6,280.7,0.5,3.5,2.2,9.9,11.1,125.6,337.4,22.5
27.01.2022,98,39.9,121.7,259.4,197.1,2.9,149.5,0.4,2.7,1.9,9.5,10.7,119.5,725.9,35.8
28.01.2022,97.7,32.9,125.6,280.2,176,3.5,181.4,0.4,1.3,2,11.5,13,110.1,556.4,54.8
29.01.2022,95.6,30,122.7,160,93.9,2.7,113.3,0.4,2.2,1.5,11.6,13,109.8,838.8,20.5
30.01.2022,88,28.5,122.7,177.1,95.9,2.8,104.6,0.4,2,1.5,11.7,13.1,111,696.2,57.2
31.01.2022,97.9,30.9,124.9,314.9,172.4,2.7,199.1,0.4,3.7,2,12.1,13.6,89.6,410.4,23.2
01.02.2022,97.2,34.5,122.6,268.2,139.9,2.6,165.2,0.4,1.3,1.9,12.5,14,111.3,738,19.3
02.02.2022,96.8,34.6,123.5,262.8,146.6,3.5,177.4,0.4,2.1,1.9,12.2,13.7,92,685.3,52.2
03.02.2022,96.3,36,124.7,320.5,204.1,4,243.5,0.4,1.5,2.4,12.4,13.9,108.7,343.6,30.7
04.02.2022,97.6,34.3,124,272.6,124.4,3.8,157.9,0.4,0.8,2.2,12.1,13.5,120.2,642.9,35.6
05.02.2022,96.2,33.6,124,132.8,80,2.5,104.4,0.4,0.9,1.6,11.6,13.1,121.9,795.6,83.5
06.02.2022,87.8,32.5,123.6,113.2,65.8,2.5,84.3,0.4,1.3,1.5,11.4,12.8,100.6,873.4,26.9
07.02.2022,96.7,35.8,123.6,200.9,121.9,4.1,132.4,0.4,1.6,1.9,11.6,13,108.3,760.9,61.6
08.02.2022,97.5,35.4,123.9,268.4,163.4,2.6,144.3,0.5,0.9,2.1,11.9,13.4,122.3,705.1,38.1
09.02.2022,97.4,34,124.7,295.9,189.4,3.5,170.6,0.5,2.2,2.2,12.7,14.3,110.4,503,71.2
10.02.2022,97.5,35.9,126.3,296.7,234.2,2.6,232.5,0.5,2.1,2.3,13,14.6,101.3,300.7,70.8
11.02.2022,97.3,36.8,126.5,334.3,198.8,2.5,190.5,0.5,1.9,2.3,13,14.6,87,394.1,64.9
12.02.2022,97.5,35.3,125.7,302.3,166.8,2.6,144,0.6,1.4,2,12.9,14.5,123.7,311.5,148.9
13.02.2022,96.5,32.8,123,175.8,96,2.6,109.5,0.6,1.9,1.6,12.9,14.5,123.9,587.7,150.9
14.02.2022,96.8,32.6,124.1,224.9,156.6,3.5,147.2,0.5,1.5,1.9,13.6,15.3,130.4,660,96.5
15.02.2022,97.6,34.1,125.5,282,203.9,2.9,164.1,0.6,3.2,2.1,13.8,15.5,114.7,532.1,60.9
16.02.2022,97.2,34,122.7,198.2,138.5,3,133.2,0.5,1.8,1.6,12.9,14.5,110.2,877.1,33.8
17.02.2022,95.6,36.8,120.6,122.9,113.7,2.5,111.7,0.5,1.6,1.6,12.9,14.5,94.9,924.9,82
18.02.2022,96.9,41.5,122.6,183.5,120.2,2,130.5,0.5,2.3,1.9,11.7,13.1,99.3,735.8,37.7
19.02.2022,91.4,40.7,120.9,115,79.8,2.4,105.9,0.5,2,1.6,12.8,14.4,107.3,778.1,117.5
20.02.2022,96.1,39,122.3,125.2,67.6,2.5,86.3,0.5,1,1.5,13,14.6,102.4,808.2,46.4
21.02.2022,94.5,38.3,121.7,159.2,105.1,3.7,107.9,0.4,2,1.7,13.6,15.3,117.3,890.7,72.9
22.02.2022,97.7,38.6,123.2,259.3,142.5,3.7,135.3,0.5,1.4,2,12.9,14.5,114,731,76.8
23.02.2022,95.5,38.6,123.6,273.9,169.4,3.8,153.8,0.5,1.8,1.8,10.5,11.8,121.5,535.9,161
24.02.2022,97.6,37.7,123.9,298.2,156.1,2.7,133.7,0.5,1.2,1.8,13.6,15.3,107.6,674,95.6
25.02.2022,96.3,34.1,123.8,292.6,148.4,3.6,119.5,0.5,2.6,1.8,13.4,15.1,125.1,699.9,99.9
26.02.2022,96.1,33.3,125.6,352.5,217.4,2.6,140.6,0.5,1.8,2.1,13.5,15.2,24.3,167.4,116.7
27.02.2022,93.4,32.1,123.6,338.5,159.3,2.6,93.3,0.5,1.8,1.7,13.6,15.3,84,264.6,180.1
28.02.2022,95.8,31.7,124.1,352.5,209,3.7,157.4,0.5,2.4,2,13.3,14.9,100.8,245.8,188.1
01.03.2022,96.5,33.1,124.9,356.2,230.5,3,213,0.5,4.3,1.9,12.5,14.1,29.3,179.4,186.5
02.03.2022,96.8,34.2,125.3,368.2,243,2.8,246,0.5,4.9,2.1,13.2,14.8,21.6,47.1,144.1
03.03.2022,97.1,36.9,125.4,336.4,253.9,2.5,208.6,0.5,4.3,2,14.1,15.9,42.1,99.9,189.1
04.03.2022,98.3,35.8,126.2,338.4,249.3,2,198.9,0.5,2.8,2.1,14.6,16.4,57.1,128.1,160.3
05.03.2022,98.4,32.1,126.2,331.1,243.2,2,141.2,0.5,1.2,2.1,14.8,16.6,41.4,129.8,167.5
06.03.2022,97.7,31,125.4,344.1,239.6,2.1,125.1,0.5,2,2.1,14.6,16.5,22.5,100.2,119
07.03.2022,97.5,30.9,126.7,335.7,243.2,2.3,213.3,0.5,3.2,2.1,13.5,15.2,5.4,133.7,193.4
08.03.2022,98.2,32.1,125.5,314.9,241.4,2.5,174.1,0.5,2.7,2.1,13.5,15.2,48.2,189.8,226.5
09.03.2022,97.4,31.9,125.6,326.8,251.7,2.6,159.8,0.5,2.6,2,13.5,15.2,52.7,134.2,225.2
10.03.2022,94.8,30.2,124.3,311.9,225.3,2.1,128.9,0.5,1.9,1.9,13.7,15.4,70.2,360,223.3
11.03.2022,93,30.9,121,261,141,2.7,95.1,0.5,1.6,1.4,14.1,15.8,97.8,636.9,227.5
12.03.2022,95.9,30.7,123.7,261.4,126.9,2,88,0.5,1.1,1.5,14.6,16.4,100.8,406,209.8
13.03.2022,95.5,30.4,122.7,276.4,105.5,2,83,0.5,1.2,1.4,14.6,16.4,92.7,350.8,221.1
14.03.2022,95.6,30.6,124.6,345.4,218.3,2.4,203.7,0.5,1.4,1.9,14.7,16.5,43.3,230.1,137.5
15.03.2022,97.4,33,125.5,350,242,2,259.1,0.4,2.7,1.9,14.1,15.9,11.6,74.6,70.9
16.03.2022,97.4,35.9,124.9,346.1,227.8,2,185.8,0.5,4,2,13.6,15.3,59.4,234.9,149.5
17.03.2022,96.1,36,125,327.2,198.7,2.4,193.3,0.5,4.2,1.9,12.9,14.5,95.9,338.5,61.8
18.03.2022,96.1,35.3,125.9,306,209.6,3.2,175.8,0.5,1.6,1.9,12.9,14.5,28.4,229.7,185.8
19.03.2022,93.9,34,124.3,250.9,105.7,2,92,0.5,2.2,1.3,12.9,14.6,62.4,475.9,210.7
20.03.2022,92.2,31.8,123.1,186.3,86.2,2,86.6,0.5,1.5,1.4,12.8,14.4,94,546.3,211.7
21.03.2022,95.1,30.7,125.1,316.2,207,2.2,164.8,0.5,5.3,1.9,12.8,14.4,40.8,229.8,226.2
22.03.2022,96.4,33.2,125.3,330.8,234.5,2.2,209,0.5,4.8,1.9,13,14.6,7.2,86.6,243
23.03.2022,96.1,34.2,125.6,335.4,255.7,2.5,216,0.4,4.9,1.7,13,14.6,2.7,51.9,242.2
24.03.2022,96.2,34.5,123.9,322.9,258.7,2.4,219.5,0.5,4.4,1.8,13.1,14.8,3.4,40.2,239.7
25.03.2022,95.7,35.4,124.1,311.2,246.7,2.8,167.6,0.5,5.1,1.7,13,14.6,17.9,93.6,237.7
26.03.2022,94.9,35.6,123.3,326.3,153.4,2,112.3,0.5,3.3,1.6,12.5,14.1,46.7,214.4,221
27.03.2022,89.4,33.4,117.5,333.2,138.1,2,114.8,0.5,2.6,1.4,12.1,13.6,22.6,64.4,229.4
28.03.2022,95.6,34.7,122.8,345.4,215.1,2,172.4,0.5,3,1.7,13.2,14.8,40.9,132.2,222.5
29.03.2022,93.8,34.5,122.7,350.1,223.3,3.4,214.4,0.5,4,1.7,13.6,15.3,25.3,138.5,159.2
30.03.2022,94.1,37.7,123,375.4,231.9,2,252.1,0.5,5.2,1.6,14.1,15.8,26,76.7,97.5
31.03.2022,95.5,38.4,119.6,336.1,206.6,3.1,171.6,0.5,4.1,1.7,13.3,15,93.2,399.7,72.2
01.04.2022,96.2,38.9,119.3,315.7,138.2,2.9,123.8,0.5,1.4,1.8,13.4,15.1,102,566.9,61.5
02.04.2022,94.7,38,119,298.7,151.8,1.7,119.3,0.5,1.8,1.9,13.4,15.1,58.2,383.5,85.3
03.04.2022,94.5,36.1,118.6,266.7,175.2,2,97.4,0.5,2.3,1.8,13.7,15.4,70.3,213.4,137.9
04.04.2022,94.7,33.7,120.2,220,103.7,1.7,97.7,0.4,1.7,1.5,13.6,15.3,101.5,780,144.6
05.04.2022,97.6,33.6,124.2,304.6,161.5,2.7,106.1,0.5,3.4,1.9,13.2,14.8,59.4,528,80.2
06.04.2022,96.4,38.1,122.7,280.8,109.2,1.7,77.3,0.5,2.6,1.6,9.2,10.4,111,709.7,123.8
07.04.2022,95.8,40.1,121.2,187.9,82.9,2.2,96.2,0.5,1.6,1.4,9,10.2,104.4,894.5,115.7
08.04.2022,95.4,46.4,122.8,262.5,116.8,2.4,115.1,0.5,3.1,1.6,8.5,9.6,96.3,549.1,110.7
09.04.2022,96.8,48.7,120.1,206.6,80.3,1.7,86.1,0.5,1.9,1.4,9.6,10.8,116.7,541.2,174.9
10.04.2022,95.7,43.6,120.4,189.8,86.7,1.7,83.3,0.6,2.5,1.5,13.2,14.9,103.9,398.3,188.2
11.04.2022,96.2,42.6,122.1,340.5,160.8,1.7,126,0.5,2.4,1.9,13.8,15.5,28.4,129,277.3
12.04.2022,96.2,41.2,120.9,313.8,132.6,1.7,104.6,0.5,3.4,1.9,13.5,15.1,105,325.6,261
13.04.2022,94.1,41.1,121,294.5,158,2.3,144.6,0.5,4.6,1.8,14,15.8,56.2,156.3,234
14.04.2022,95.3,43.9,121.2,309.5,151.9,1.7,139.3,0.5,1.7,1.8,14.4,16.2,52.7,127.1,193.5
