Tag,Solar(GWh),shortwave_radiation_sum,daylight_duration,sunshine_duration,Bruttoleistung(GWp)
2018-01-01,31.1,3.22,8.251632,4.999405,42.20548798199992
2018-01-02,17.2,1.93,8.26927,1.4112934,42.23452430299992
2018-01-03,13.8,1.9,8.288358,1.6100037,42.242417203999935
2018-01-04,9.8,0.76,8.308922,0.0,42.25077215099992
2018-01-05,19.4,1.91,8.331191,2.09585,42.260812836999925
2018-01-06,30.8,2.64,8.355146,3.799898,42.26119831199993
2018-01-07,17.9,1.74,8.380725,0.0,42.26206870199992
2018-01-08,32.0,2.35,8.407862,0.47484457,42.274552520999926
2018-01-09,31.1,2.47,8.436496,1.97173,42.28618741999992
2018-01-10,39.9,3.84,8.466562,5.1101165,42.298637049999925
2018-01-11,22.2,1.76,8.497996,0.0,42.30692361999992
2018-01-12,11.6,2.06,8.530738,0.0,42.315136228999926
2018-01-13,12.1,2.44,8.564723,1.0681293,42.31536593399992
2018-01-14,35.1,3.46,8.599889,4.425824,42.31549045399992
2018-01-15,31.9,2.91,8.636176,4.273249,42.326417090999925
2018-01-16,19.6,1.7,8.673524,0.91985196,42.34515631799992
2018-01-17,19.9,3.79,8.711872,4.6547604,42.35247873899992
2018-01-18,16.7,1.38,8.751164,0.8529651,42.362939115999914
2018-01-19,28.0,4.31,8.79134,6.5356708,42.36934112199991
2018-01-20,15.8,2.4,8.832345,0.56416523,42.37016281299991
2018-01-21,19.3,3.16,8.87412,3.4389653,42.370339837999914
2018-01-22,10.2,1.1,8.9166155,0.0,42.37943966499991
2018-01-23,20.0,1.44,8.959774,0.0,42.38601802999991
2018-01-24,43.3,2.47,9.0036335,2.1620326,42.39291413999992
2018-01-25,31.8,5.5,9.048655,6.922762,42.39980554999991
2018-01-26,29.2,4.9,9.094846,6.107524,42.409593831999906
2018-01-27,27.0,3.2,9.142132,1.7866396,42.4104696169999
2018-01-28,23.4,1.17,9.1904335,0.0,42.4105608569999
2018-01-29,25.0,2.47,9.239681,0.0,42.4190864989999
2018-01-30,52.6,6.99,9.289801,8.105381,42.436582761999894
2018-01-31,32.6,2.66,9.340722,3.0441709,42.4630156999999
2018-02-01,34.4,3.23,9.392371,0.2592207,42.476695483999904
2018-02-02,40.2,4.94,9.444688,4.6180387,42.4835775619999
2018-02-03,26.5,5.24,9.497602,7.606268,42.4844341719999
2018-02-04,27.6,5.35,9.551051,6.275132,42.4844454869999
2018-02-05,56.2,7.42,9.604971,7.039095,42.513831619999905
2018-02-06,70.1,8.34,9.659304,8.034499,42.534660795999905
2018-02-07,59.0,5.81,9.713986,3.7808104,42.5399084099999
2018-02-08,54.6,5.89,9.768963,5.641657,42.54586868799989
2018-02-09,44.7,3.5,9.824175,0.0,42.549668077999904
2018-02-10,25.8,2.61,9.879572,0.06693765,42.549969532999896
2018-02-11,30.1,3.03,9.935094,1.5906092,42.549986532999895
2018-02-12,50.0,6.62,9.99069,8.472626,42.55516790699989
2018-02-13,103.0,7.72,10.046405,8.864802,42.561270019999895
2018-02-14,119.7,8.21,10.102744,6.4425945,42.5668293849999
2018-02-15,32.4,5.14,10.1597395,2.8216314,42.58378422599989
2018-02-16,75.6,6.2,10.217335,5.3467727,42.58927501099989
2018-02-17,36.4,2.72,10.275472,0.0,42.58954848099989
2018-02-18,62.9,7.26,10.334092,5.9771104,42.58965432599989
2018-02-19,62.1,9.14,10.393144,7.796966,42.59351580899989
2018-02-20,69.4,6.04,10.452572,4.204104,42.60198865899989
2018-02-21,96.8,11.47,10.512325,9.043898,42.6125851859999
2018-02-22,93.5,11.08,10.5723505,9.048483,42.61850412199989
2018-02-23,111.5,11.79,10.6326,9.351409,42.621515932999884
2018-02-24,116.0,10.67,10.693025,9.057545,42.62240727299989
2018-02-25,128.8,12.53,10.753574,9.6383915,42.622929382999885
2018-02-26,86.1,9.35,10.814205,9.271486,42.63795753899989
2018-02-27,103.3,9.99,10.8748665,7.710485,42.65000594899989
2018-02-28,114.2,13.23,10.935516,9.839484,42.65718634999989
2018-03-01,116.5,11.43,10.996108,9.918502,42.672791385999886
2018-03-02,107.7,12.15,11.056598,9.641588,42.67480645099989
2018-03-03,81.3,7.17,11.116942,5.772104,42.675006578999884
2018-03-04,106.0,9.15,11.177097,7.7466173,42.67502636899988
2018-03-05,110.2,11.0,11.237104,7.8712163,42.67751538299988
2018-03-06,80.7,6.96,11.297435,1.2574219,42.68166681499988
2018-03-07,60.0,10.98,11.358128,9.466432,42.68985615999988
2018-03-08,98.4,10.7,11.419145,10.377446,42.69417824299987
2018-03-09,75.7,3.82,11.480441,0.22358163,42.69868269299988
2018-03-10,59.1,8.29,11.54198,5.7759686,42.69926594299987
2018-03-11,88.9,13.13,11.603718,9.21016,42.69928214299988
2018-03-12,52.1,3.6,11.665618,1.0,42.702801072999875
2018-03-13,55.2,8.18,11.727637,6.6177716,42.70589351099988
2018-03-14,75.4,5.19,11.78974,0.49411523,42.711219244999874
2018-03-15,114.5,15.58,11.851885,10.769715,42.723428692999875
2018-03-16,51.4,8.95,11.914035,6.506765,42.72693703299988
2018-03-17,55.7,6.47,11.976151,1.3305678,42.72730368299988
2018-03-18,86.8,8.57,12.038195,2.7343602,42.727426947999874
2018-03-19,125.7,16.2,12.100127,10.875566,42.73409421599988
2018-03-20,105.3,14.64,12.161911,7.7463126,42.73964940599987
2018-03-21,142.9,13.65,12.223506,10.025087,42.74875845599987
2018-03-22,59.4,9.59,12.284875,6.9849625,42.755466185999865
2018-03-23,47.1,5.42,12.345975,1.019692,42.76195769999987
2018-03-24,152.5,15.31,12.40677,11.0,42.76267337499987
2018-03-25,167.4,18.05,12.467298,11.335203,42.76279562999987
2018-03-26,76.8,8.64,12.527986,8.304686,42.76948461499987
2018-03-27,118.2,15.97,12.588883,10.47956,42.78746913899986
2018-03-28,48.8,5.23,12.649949,0.33261675,42.79829845999987
2018-03-29,100.3,11.8,12.711152,10.188465,42.81271358499987
2018-03-30,153.9,15.19,12.772457,10.868676,42.81442361099987
2018-03-31,78.2,7.66,12.833823,2.4460206,42.82064314599987
2018-04-01,77.5,9.69,12.895222,7.3933783,42.82230279599987
2018-04-02,159.9,16.02,12.956614,11.0,42.82388134999986
2018-04-03,150.8,19.69,13.01796,11.754462,42.82745531599986
2018-04-04,146.1,18.03,13.0792265,11.129573,42.83483424699986
2018-04-05,104.3,14.37,13.140375,11.003185,42.839821532999856
2018-04-06,228.0,20.67,13.201366,12.020476,42.84781198499986
2018-04-07,224.3,21.77,13.262162,12.090488,42.84805285499986
2018-04-08,207.9,21.31,13.322723,12.162281,42.84809683499985
2018-04-09,153.7,20.7,13.383008,12.203988,42.85288495499985
2018-04-10,164.3,17.87,13.442976,12.079517,42.85994121999985
2018-04-11,158.7,18.5,13.502585,11.990052,42.87141921499985
2018-04-12,150.3,17.47,13.561793,8.43559,42.879840048999846
2018-04-13,90.2,13.59,13.620553,7.002379,42.887371992999846
2018-04-14,164.9,19.84,13.678897,12.526871,42.88857302799984
2018-04-15,150.0,18.46,13.737244,10.784217,42.88885205799984
2018-04-16,107.2,8.14,13.795633,1.0178908,42.895104452999846
2018-04-17,205.7,17.01,13.854024,10.871969,42.90315844199985
2018-04-18,225.7,22.89,13.912381,12.636618,42.917057697999844
2018-04-19,226.6,23.61,13.970663,12.726004,42.92937447499985
2018-04-20,224.0,23.47,14.028829,12.753466,42.93806802799985
2018-04-21,220.2,23.34,14.08684,12.833132,42.93853614799985
2018-04-22,208.3,19.64,14.144651,12.833929,42.94013253299984
2018-04-23,146.7,16.89,14.202221,10.644739,42.95642200399985
2018-04-24,149.9,17.81,14.259503,8.916388,42.970011725999846
2018-04-25,146.3,18.38,14.316453,13.011316,42.982106861999846
2018-04-26,145.4,19.47,14.373023,11.271921,42.99675726399985
