Inbetriebnahmedatum,Solar(GWh),Bruttoleistung(GWp)
2018-01-01,31.1,42.20548798199992
2018-01-02,17.2,42.23452430299992
2018-01-03,13.8,42.242417203999935
2018-01-04,9.8,42.25077215099992
2018-01-05,19.4,42.260812836999925
2018-01-06,30.8,42.26119831199993
2018-01-07,17.9,42.26206870199992
2018-01-08,32.0,42.274552520999926
2018-01-09,31.1,42.28618741999992
2018-01-10,39.9,42.298637049999925
2018-01-11,22.2,42.30692361999992
2018-01-12,11.6,42.315136228999926
2018-01-13,12.1,42.31536593399992
2018-01-14,35.1,42.31549045399992
2018-01-15,31.9,42.326417090999925
2018-01-16,19.6,42.34515631799992
2018-01-17,19.9,42.35247873899992
2018-01-18,16.7,42.362939115999914
2018-01-19,28.0,42.36934112199991
2018-01-20,15.8,42.37016281299991
2018-01-21,19.3,42.370339837999914
2018-01-22,10.2,42.37943966499991
2018-01-23,20.0,42.38601802999991
2018-01-24,43.3,42.39291413999992
2018-01-25,31.8,42.39980554999991
2018-01-26,29.2,42.409593831999906
2018-01-27,27.0,42.4104696169999
2018-01-28,23.4,42.4105608569999
2018-01-29,25.0,42.4190864989999
2018-01-30,52.6,42.436582761999894
2018-01-31,32.6,42.4630156999999
2018-02-01,34.4,42.476695483999904
2018-02-02,40.2,42.4835775619999
2018-02-03,26.5,42.4844341719999
2018-02-04,27.6,42.4844454869999
2018-02-05,56.2,42.513831619999905
2018-02-06,70.1,42.534660795999905
2018-02-07,59.0,42.5399084099999
2018-02-08,54.6,42.54586868799989
2018-02-09,44.7,42.549668077999904
2018-02-10,25.8,42.549969532999896
2018-02-11,30.1,42.549986532999895
2018-02-12,50.0,42.55516790699989
2018-02-13,103.0,42.561270019999895
2018-02-14,119.7,42.5668293849999
2018-02-15,32.4,42.58378422599989
2018-02-16,75.6,42.58927501099989
2018-02-17,36.4,42.58954848099989
2018-02-18,62.9,42.58965432599989
2018-02-19,62.1,42.59351580899989
2018-02-20,69.4,42.60198865899989
2018-02-21,96.8,42.6125851859999
2018-02-22,93.5,42.61850412199989
2018-02-23,111.5,42.621515932999884
2018-02-24,116.0,42.62240727299989
2018-02-25,128.8,42.622929382999885
2018-02-26,86.1,42.63795753899989
2018-02-27,103.3,42.65000594899989
2018-02-28,114.2,42.65718634999989
2018-03-01,116.5,42.672791385999886
2018-03-02,107.7,42.67480645099989
2018-03-03,81.3,42.675006578999884
2018-03-04,106.0,42.67502636899988
2018-03-05,110.2,42.67751538299988
